id,franquia,is_franchise,estudio_principal,original_language,production_countries,status
1645,,False,Regency Enterprises,en,United States of America,Released
18550,,False,Frank Mancuso Jr. Productions,en,United States of America,Released
11962,,False,Geffen Pictures,en,United States of America,Released
2925,,False,Scott Rudin Productions,en,United States of America,Released
3595,,False,Touchstone Pictures,en,United States of America,Released
12123,,False,Chicago Pacific Entertainment,en,United States of America,Released
10830,,False,Jersey Films,en,United States of America,Released
3573,,False,Miramax,en,United States of America,Released
10546,The Crow Collection,True,Dimension Films,en,United States of America,Released
9431,Tales from the Crypt Collection,True,Universal Pictures,en,United States of America,Released
47907,,False,Castle Rock Entertainment,en,United States of America,Released
10061,Escape From ... Collection,True,Paramount Pictures,en,United States of America,Released
549,,False,Eleventh Street Production,en,United States of America,Released
10478,,False,Regency Enterprises,en,United States of America,Released
66634,,False,Vertigo Productions,en,"Australia, France",Released
238,The Godfather Collection,True,Paramount Pictures,en,United States of America,Released
11134,Police Story Collection,True,Orange Sky Golden Harvest,cn,"Hong Kong, China",Released
88224,,False,Pope Productions,en,United States of America,Released
9303,,False,The De Laurentiis Company,en,United States of America,Released
11015,,False,Mutual Film Company,en,"Germany, Japan, United Kingdom, United States of America",Released
9306,,False,New Line Cinema,en,United States of America,Released
10723,Bulletproof Collection,True,Universal Pictures,en,United States of America,Released
10987,Halloween Collection,True,Halloween VI Productions,en,United States of America,Released
872,,False,Metro-Goldwyn-Mayer,en,United States of America,Released
2769,,False,Metro-Goldwyn-Mayer,en,United States of America,Released
164,,False,Paramount Pictures,en,United States of America,Released
426,,False,Paramount Pictures,en,United States of America,Released
567,,False,Alfred J. Hitchcock Productions,en,United States of America,Released
3078,,False,Columbia Pictures,en,United States of America,Released
213,,False,Metro-Goldwyn-Mayer,en,United States of America,Released
284,,False,The Mirisch Company,en,United States of America,Released
239,,False,The Mirisch Company,en,United States of America,Released
4808,,False,Stanley Donen Films,en,"United Kingdom, United States of America",Released
289,,False,Warner Bros. Pictures,en,United States of America,Released
963,,False,Warner Bros. Pictures,en,United States of America,Released
11113,,False,Warner Bros. Pictures,en,United States of America,Released
6620,,False,Paramount Pictures,en,United States of America,Released
804,,False,Paramount Pictures,en,United States of America,Released
630,,False,Metro-Goldwyn-Mayer,en,United States of America,Released
770,,False,Selznick International Pictures,en,United States of America,Released
599,,False,Paramount Pictures,en,United States of America,Released
15,,False,Mercury Productions,en,United States of America,Released
62,The Space Odyssey Series,True,Stanley Kubrick Productions,en,"United Kingdom, United States of America",Released
705,,False,20th Century Fox,en,United States of America,Released
22490,,False,Metro-Goldwyn-Mayer,en,United States of America,Released
223,,False,Selznick International Pictures,en,United States of America,Released
303,,False,RKO Radio Pictures,en,United States of America,Released
4174,,False,Selznick International Pictures,en,United States of America,Released
381,,False,Paramount Pictures,en,United States of America,Released
1859,,False,Metro-Goldwyn-Mayer,en,United States of America,Released
10907,,False,Warner Bros. Pictures,en,United States of America,Released
1939,,False,20th Century Fox,en,United States of America,Released
3080,,False,RKO Radio Pictures,en,United States of America,Released
1712,,False,Warner Bros. Pictures,en,United States of America,Released
220,,False,Warner Bros. Pictures,en,United States of America,Released
3529,The Thin Man Collection,True,Metro-Goldwyn-Mayer,en,United States of America,Released
2897,,False,Michael Todd Company,en,United Kingdom,Released
1585,,False,Liberty Films,en,United States of America,Released
3083,,False,Columbia Pictures,en,United States of America,Released
10331,Living Dead Collection,True,Image Ten,en,United States of America,Released
488,,False,Romulus Films,en,"United Kingdom, United States of America",Released
261,,False,Avon Productions,en,United States of America,Released
22649,,False,Paramount Pictures,en,United States of America,Released
10861,,False,Columbia Pictures,en,United States of America,Released
1770,,False,Geffen Pictures,en,"Ireland, United Kingdom, United States of America",Released
9333,,False,New Line Cinema,en,United States of America,Released
9400,,False,New Line Cinema,en,United States of America,Released
12241,,False,Tinderbox Films,en,United States of America,Released
11306,,False,Castle Rock Entertainment,en,United States of America,Released
6346,,False,Universal Pictures,en,United States of America,Released
173,,False,Walt Disney Productions,en,United States of America,Released
864,,False,Walt Disney Pictures,en,United States of America,Released
11224,Cinderella Collection,True,Walt Disney Productions,en,United States of America,Released
9078,,False,Walt Disney Productions,en,United States of America,Released
8367,,False,Morgan Creek Entertainment,en,United States of America,Released
433,Mary Poppins Collection,True,Walt Disney Productions,en,United States of America,Released
11360,,False,Walt Disney Productions,en,United States of America,Released
12335,,False,Walt Disney Productions,en,United States of America,Released
12092,,False,Walt Disney Productions,en,United States of America,Released
10948,The Fox and the Hound Collection,True,Walt Disney Productions,en,United States of America,Released
15121,,False,Robert Wise Productions,en,United States of America,Released
562,Die Hard Collection,True,Gordon Company,en,United States of America,Released
10163,The Lawnmower Man Collection,True,Allied Vision,en,United States of America,Released
11159,,False,CiBy 2000,en,"United Kingdom, France",Released
41843,,False,Warner Bros. Pictures,en,"United Kingdom, United States of America",Released
11412,,False,The Steve Tisch Company,en,"United States of America, Canada",Released
10586,,False,Paramount Pictures,en,"Germany, United States of America",Released
49471,,False,Columbia Pictures,en,United States of America,Released
38153,,False,Hollywood Pictures,en,United States of America,Released
25147,,False,Revolution Films,en,United Kingdom,Released
454,,False,20th Century Fox,en,"Australia, United States of America",Released
10218,,False,Miramax,en,United States of America,Released
819,,False,Propaganda Films,en,United States of America,Released
252,,False,Wolper Pictures,en,United States of America,Released
11561,,False,United Artists,en,United States of America,Released
11302,,False,Jack Rollins & Charles H. Joffe Productions,en,United States of America,Released
623,,False,Prominent Features,en,"United Kingdom, United States of America",Released
583,,False,Handmade Films,en,United Kingdom,Released
11575,,False,Jalem Productions,en,United States of America,Released
475,,False,Tatira-Hiller Productions,en,United States of America,Released
521,,False,Warner Bros. Pictures,en,United States of America,Released
88,Dirty Dancing Collection,True,Great American Films Limited Partnership,en,United States of America,Released
500,,False,Live Entertainment,en,United States of America,Released
792,,False,Hemdale Film Corporation,en,"United Kingdom, United States of America",Released
8491,Weekend at Bernie's Collection,True,Gladden Entertainment,en,United States of America,Released
402,Basic Instinct Collection,True,Carolco Pictures,en,"United States of America, France",Released
10537,,False,Carolco Pictures,en,United States of America,Released
11386,,False,Palace Pictures,en,"United Kingdom, Japan",Released
9504,,False,Zupnik Cinema Group II,en,United States of America,Released
15764,,False,ITC Entertainment,en,"United Kingdom, United States of America",Released
601,,False,Universal Pictures,en,United States of America,Released
2119,,False,Paramount Pictures,en,United States of America,Released
744,Top Gun Collection,True,Paramount Pictures,en,United States of America,Released
702,,False,Charles K. Feldman Group,en,United States of America,Released
21612,,False,C&P Productions,en,United States of America,Released
1630,,False,Columbia Pictures,en,United States of America,Released
11843,The Pink Panther (Original) Collection,True,Jewel Productions,en,"United Kingdom, United States of America",Released
10379,,False,PolyGram Filmed Entertainment,en,"United Kingdom, United States of America",Released
2756,,False,20th Century Fox,en,United States of America,Released
790,,False,AVCO Embassy Pictures,en,United States of America,Released
1103,Escape From ... Collection,True,AVCO Embassy Pictures,en,"United Kingdom, Germany, United States of America",Released
11298,The Howling Collection,True,AVCO Embassy Pictures,en,United States of America,Released
762,,False,Python (Monty) Pictures,en,United Kingdom,Released
49763,,False,Morgan Creek Entertainment,en,United States of America,Released
892,,False,Constellation,fr,France,Released
409,,False,Miramax,en,"United Kingdom, United States of America",Released
10161,,False,Ferndale Films,en,"Ireland, United Kingdom",Released
10409,,False,Beyond Films,en,Australia,Released
10174,,False,Propaganda Films,en,United States of America,Released
31225,,False,Off White Productions,en,United States of America,Released
510,,False,Fantasy Films,en,United States of America,Released
1891,Star Wars Collection,True,Lucasfilm Ltd.,en,United States of America,Released
2493,,False,The Princess Bride,en,United States of America,Released
85,Indiana Jones Collection,True,Paramount Pictures,en,United States of America,Released
679,Alien Collection,True,SLM Production Group,en,United States of America,Released
429,,False,United Artists,it,"United States of America, Italy, Spain, Germany",Released
389,,False,Orion-Nova Productions,en,United States of America,Released
947,,False,Horizon Pictures,en,United Kingdom,Released
185,,False,Polaris Productions Limited,en,"United Kingdom, United States of America",Released
595,,False,Pakula-Mulligan,en,United States of America,Released
28,,False,American Zoetrope,en,United States of America,Released
335,,False,Paramount Pictures,it,"Italy, United States of America",Released
1892,Star Wars Collection,True,Lucasfilm Ltd.,en,United States of America,Released
144,Damiel and Cassiel Collection,True,Road Movies,de,"Germany, France",Released
769,,False,Winkler Films,en,United States of America,Released
348,Alien Collection,True,Brandywine Productions,en,"United States of America, United Kingdom",Released
11645,,False,Nippon Herald Films,ja,"Japan, France",Released
539,Psycho Collection,True,Shamley Productions,en,United States of America,Released
525,The Blues Brothers Collection,True,Universal Pictures,en,United States of America,Released
240,The Godfather Collection,True,Paramount Pictures,en,United States of America,Released
600,,False,Natant,en,"United Kingdom, United States of America",Released
279,,False,The Saul Zaentz Company,en,United States of America,Released
1578,,False,United Artists,en,United States of America,Released
703,,False,Jack Rollins & Charles H. Joffe Productions,en,United States of America,Released
9549,,False,The Ladd Company,en,United States of America,Released
387,,False,Radiant Film,de,Germany,Released
9277,The Sting Collection,True,Universal Pictures,en,United States of America,Released
218,The Terminator Collection,True,Hemdale,en,"United Kingdom, United States of America",Released
763,,False,WingNut Films,en,New Zealand,Released
9665,,False,Freddie Fields Productions,en,United States of America,Released
379,,False,Circle Films,en,United States of America,Released
207,,False,A Steven Haft Production,en,United States of America,Released
37247,,False,AVCO Embassy Pictures,en,United States of America,Released
1480,,False,Universal International Pictures,en,United States of America,Released
826,,False,Horizon Pictures,en,United Kingdom,Released
829,The Jake Gittes Collection,True,Paramount Pictures,en,United States of America,Released
3090,,False,Warner Bros. Pictures,en,United States of America,Released
694,The Shining Collection,True,Warner Bros. Pictures,en,"United Kingdom, United States of America",Released
235,,False,Act III Productions,en,United States of America,Released
765,Evil Dead Collection,True,Rosebud Releasing Corporation,en,United States of America,Released
5925,The Great Escape Collection,True,The Mirisch Company,en,United States of America,Released
11778,,False,Universal Pictures,en,"United Kingdom, United States of America",Released
137,,False,Columbia Pictures,en,United States of America,Released
33,,False,Warner Bros. Pictures,en,United States of America,Released
982,,False,MC Productions,en,United States of America,Released
105,Back to the Future Collection,True,Universal Pictures,en,United States of America,Released
1633,,False,Universal Pictures,en,United States of America,Released
11202,Patton Collection,True,20th Century Fox,en,United States of America,Released
149,,False,MBS,ja,Japan,Released
8009,Highlander Collection,True,Davis-Panzer Productions,en,"United Kingdom, United States of America",Released
903,,False,Warner Bros.-Seven Arts,en,United States of America,Released
3034,,False,Crossbow Productions,en,United States of America,Released
339,,False,JVC,en,"United States of America, Japan, France, Germany, United Kingdom",Released
914,,False,Charles Chaplin Productions,en,United States of America,Released
756,Fantasia Collection,True,Walt Disney Productions,en,United States of America,Released
288,,False,Stanley Kramer Productions,en,United States of America,Released
665,,False,Metro-Goldwyn-Mayer,en,United States of America,Released
11031,This Is Spinal Tap Collection,True,Spinal Tap Prod.,en,United States of America,Released
89,Indiana Jones Collection,True,Paramount Pictures,en,United States of America,Released
783,,False,Goldcrest,en,"India, United Kingdom",Released
10644,,False,The Saul Zaentz Company,en,United States of America,Released
11257,,False,Curzon Film Distributors,en,United Kingdom,Released
12104,,False,Goldcrest,en,United Kingdom,Released
625,,False,Goldcrest,en,United Kingdom,Released
830,,False,Metro-Goldwyn-Mayer,en,United States of America,Released
642,Butch Cassidy and the Sundance Kid Collection,True,Campanile Productions,en,United States of America,Released
655,,False,Road Movies,en,"United Kingdom, Germany, France",Released
639,,False,Castle Rock Entertainment,en,United States of America,Released
8077,Alien Collection,True,20th Century Fox,en,United States of America,Released
814,An American Werewolf Collection,True,Lyncanthrope Films,en,"United Kingdom, United States of America",Released
571,The Birds Collection,True,Alfred J. Hitchcock Productions,en,United States of America,Released
6114,,False,American Zoetrope,en,United States of America,Released
9529,Candyman Collection,True,Propaganda Films,en,United States of America,Released
1598,,False,Amblin Entertainment,en,United States of America,Released
7340,Carrie Collection,True,United Artists,en,United States of America,Released
377,A Nightmare on Elm Street Collection,True,New Line Cinema,en,"United States of America, United Kingdom",Released
794,The Omen Collection,True,Mace Neufeld Productions,en,"United States of America, United Kingdom",Released
